17216703711
0, 20, 10, 2, 2, 1, 1, 4, 513
1, 19, 11, 1, 2, 2, 1, 3, 513
2, 15, 15, 1, 1, 1, 0, 4, 514
3, 11, 19, 1, 1, 1, 1, 4, 514
4, 24, 6, 4, 0, 3, 8, 1, 511
5, 14, 16, 4, 1, 0, 8, 2, 512
6, 21, 9, 1, 1, 1, 8, 3, 511
7, 19, 11, 1, 1, 1, 8, 2, 512
8, 19, 11, 4, 0, 3, 1, 5, 514
9, 15, 15, 4, 1, 0, 1, 4, 514
10, 24, 6, 4, 2, 2, 1, 4, 514
11, 18, 12, 1, 1, 1, 1, 4, 514
12, 18, 12, 3, 0, 3, 8, 3, 514
13, 10, 20, 3, 1, 1, 8, 3, 514
14, 18, 12, 4, 2, 2, 8, 3, 512
15, 18, 12, 3, 2, 0, 0, 3, 514
16, 26, 4, 4, 1, 0, 8, 2, 514
17, 18, 12, 1, 2, 3, 1, 3, 514
18, 18, 12, 1, 1, 3, 1, 4, 514
19, 12, 18, 2, 1, 3, 1, 4, 514
20, 25, 5, 3, 1, 0, 8, 2, 510
21, 20, 10, 4, 1, 1, 8, 2, 514
22, 19, 11, 2, 1, 3, 0, 4, 514
23, 22, 8, 1, 1, 3, 0, 2, 512
24, 19, 11, 3, 1, 0, 8, 4, 514
25, 14, 16, 4, 1, 1, 1, 3, 512
26, 21, 9, 2, 1, 3, 8, 3, 514
27, 21, 9, 3, 2, 2, 8, 3, 514
28, 28, 2, 3, 1, 0, 0, 3, 514
29, 22, 8, 1, 3, 0, 1, 2, 512
30, 23, 7, 1, 3, 0, 8, 3, 514
31, 25, 5, 6, 0, 0, 1, 4, 514
